period_start,review_count,high_score_ratio,average_rating
2018-07-09,171,0.2573099415204678,2.865497076023392
2018-07-16,186,0.2903225806451613,2.9193548387096775
2018-07-23,215,0.26046511627906976,2.8465116279069766
2018-07-30,216,0.25,2.837962962962963
2018-08-06,217,0.28110599078341014,2.880184331797235
2018-08-13,234,0.2264957264957265,2.7905982905982905
2018-08-20,208,0.2932692307692308,2.9615384615384617
2018-08-27,233,0.30042918454935624,2.9012875536480687
2018-09-03,255,0.3058823529411765,2.8117647058823527
2018-09-10,912,0.48793859649122806,3.338815789473684
2018-09-17,1354,0.43870014771048743,3.090103397341211
2018-09-24,1611,0.49596523898199874,3.3060211049037864
2018-10-01,1564,0.49744245524296676,3.2653452685421995
2018-10-08,1493,0.48024112525117213,3.2645679839249833
2018-10-15,1363,0.5011005135730008,3.297872340425532
2018-10-22,1800,0.5455555555555556,3.477222222222222
2018-10-29,1493,0.5237776289350301,3.3878097789685198
2018-11-05,1648,0.5618932038834952,3.4981796116504853
2018-11-12,1528,0.5301047120418848,3.4103403141361257
2018-11-19,1411,0.4982282069454288,3.3345145287030475
2018-11-26,1473,0.5241004752206382,3.3754243041412084
2018-12-03,1421,0.5130190007037297,3.3821252638986627
2018-12-10,1399,0.4839170836311651,3.2208720514653324
2018-12-17,1593,0.5116133082234777,3.3691148775894537
2018-12-24,1514,0.4966974900924703,3.2562747688243063
2018-12-31,1683,0.5240641711229946,3.3291740938799763
2019-01-07,1471,0.5057783820530252,3.272603670972128
2019-01-14,1490,0.4919463087248322,3.2228187919463087
2019-01-21,1537,0.49056603773584906,3.1925829538061157
2019-01-28,1571,0.5079567154678549,3.2864417568427755
2019-02-04,1800,0.5094444444444445,3.311111111111111
2019-02-11,1679,0.5122096486003573,3.268612269207862
2019-02-18,1789,0.5170486305198435,3.3365008384572388
2019-02-25,1584,0.5113636363636364,3.2948232323232323
2019-03-04,1625,0.4966153846153846,3.260307692307692
2019-03-11,1637,0.5235186316432499,3.321319486866219
2019-03-18,2072,0.5062741312741312,3.2287644787644787
2019-03-25,1991,0.5223505775991963,3.3043696634856854
2019-04-01,1712,0.4941588785046729,3.2330607476635516
2019-04-08,1919,0.47368421052631576,3.212089630015633
2019-04-15,1678,0.4791418355184744,3.1799761620977356
2019-04-22,1709,0.48683440608543005,3.1860737273259216
2019-04-29,1720,0.45348837209302323,3.11453488372093
2019-05-06,1711,0.4640561075394506,3.156633547632963
2019-05-13,1763,0.5076574021554169,3.2824730572887124
2019-05-20,1721,0.4811156304474143,3.21266705403835
2019-05-27,1925,0.48,3.1911688311688313
2019-06-03,1812,0.4663355408388521,3.174944812362031
2019-06-10,1824,0.4512061403508772,3.084978070175439
2019-06-17,1739,0.4548591144335825,3.105232892466935
2019-06-24,1805,0.46814404432132967,3.162880886426593
2019-07-01,1764,0.4603174603174603,3.1723356009070294
2019-07-08,1816,0.45374449339207046,3.0627753303964758
2019-07-15,1881,0.5199362041467305,3.3094098883572567
2019-07-22,2304,0.5872395833333334,3.50390625
2019-07-29,2317,0.5369011652999568,3.353042727665084
2019-08-05,2241,0.45158411423471667,3.099955377063811
2019-08-12,2316,0.4369602763385147,3.04706390328152
2019-08-19,2155,0.42505800464037125,3.014849187935035
2019-08-26,2003,0.4797803295057414,3.128307538691962
2019-09-02,1933,0.4692188308329022,3.106570098292809
2019-09-09,1783,0.46102075154234434,3.1155356141334827
2019-09-16,1991,0.4490205926670015,3.0562531391260674
2019-09-23,3725,0.4759731543624161,3.1812080536912752
2019-09-30,2555,0.4583170254403131,3.1436399217221136
2019-10-07,2077,0.44294655753490614,3.0847376023110256
2019-10-14,2049,0.4343582235236701,3.079551000488043
2019-10-21,2092,0.44980879541108987,3.133843212237094
2019-10-28,1768,0.4411764705882353,3.081447963800905
2019-11-04,1797,0.46188091263216474,3.1580411797440178
2019-11-11,1841,0.46985334057577405,3.173818576860402
2019-11-18,1964,0.4526476578411405,3.1176171079429733
2019-11-25,1862,0.45542427497314714,3.1219119226638026
2019-12-02,2161,0.45719574271170754,3.106894956038871
2019-12-09,2110,0.4483412322274882,3.095260663507109
2019-12-16,1994,0.4448345035105316,3.0867602808425274
2019-12-23,2025,0.4720987654320988,3.198024691358025
2019-12-30,2254,0.45607808340727596,3.106477373558119
2020-01-06,2656,0.5549698795180723,3.4615963855421685
2020-01-13,2742,0.5160466812545588,3.340262582056893
2020-01-20,2256,0.4596631205673759,3.1648936170212765
2020-01-27,2069,0.4499758337361044,3.138231029482842
2020-02-03,2089,0.4552417424605074,3.1278123504068933
2020-02-10,2039,0.45659637076998527,3.1515448749386956
2020-02-17,2016,0.4503968253968254,3.1319444444444446
2020-02-24,2120,0.44528301886792454,3.086320754716981
2020-03-02,2091,0.4720229555236729,3.2113821138211383
2020-03-09,2208,0.4682971014492754,3.213768115942029
2020-03-16,2480,0.4653225806451613,3.175806451612903
2020-03-23,3538,0.44431882419446017,3.091294516676088
2020-03-30,3771,0.4738796075311588,3.2325643065499867
2020-04-06,3945,0.4600760456273764,3.1746514575411915
2020-04-13,3983,0.4687421541551594,3.181019332161687
2020-04-20,3996,0.43543543543543545,3.088088088088088
2020-04-27,3657,0.4197429587093246,3.062346185397867
2020-05-04,3262,0.4190680564071122,3.0358675659104843
2020-05-11,3408,0.420481220657277,3.0639671361502345
2020-05-18,3242,0.4096236890808143,2.997840838988279
2020-05-25,3201,0.4289284598562949,3.0662293033427055
2020-06-01,3155,0.4687797147385103,3.2003169572107764
2020-06-08,2850,0.4382456140350877,3.127719298245614
2020-06-15,2645,0.42533081285444235,3.047258979206049
2020-06-22,2642,0.4314912944738834,3.05223315669947
2020-06-29,2929,0.39433253670194607,2.937521338340731
2020-07-06,3010,0.42159468438538206,3.046511627906977
2020-07-13,2716,0.4374079528718704,3.11340206185567
2020-07-20,3060,0.492483660130719,3.2490196078431373
2020-07-27,3009,0.44798936523762045,3.1159853772017283
2020-08-03,2808,0.4675925925925926,3.1663105413105415
2020-08-10,3148,0.47363405336721726,3.1778907242693775
2020-08-17,2791,0.4725904693658187,3.1827302042278753
2020-08-24,2849,0.49245349245349246,3.2302562302562303
2020-08-31,2717,0.4644828855355171,3.1917556128082443
2020-09-07,2706,0.4722838137472284,3.2195121951219514
2020-09-14,2582,0.4539116963594113,3.1595662277304415
2020-09-21,2573,0.4434512242518461,3.1026039642440733
2020-09-28,2747,0.47287950491445213,3.1689115398616674
2020-10-05,2521,0.4466481554938517,3.127330424434748
2020-10-12,2688,0.4575892857142857,3.1529017857142856
2020-10-19,2911,0.40364136035726556,2.9391961525249055
2020-10-26,2815,0.39751332149200713,2.9154529307282417
2020-11-02,2686,0.39128816083395385,2.9136262099776618
2020-11-09,2696,0.4013353115727003,2.9543768545994067
2020-11-16,2865,0.4118673647469459,2.994764397905759
2020-11-23,2648,0.43768882175226587,3.068353474320242
2020-11-30,2833,0.4578185668902224,3.1111895517119663
2020-12-07,2917,0.4473774425779911,3.1038738429893726
2020-12-14,2807,0.4535090844317777,3.124332027075169
2020-12-21,2823,0.42968473255402057,3.0584484590860788
2020-12-28,3095,0.4455573505654281,3.113408723747981
2021-01-04,3011,0.44304217867818,3.0843573563600133
2021-01-11,2752,0.43786337209302323,3.112281976744186
2021-01-18,3074,0.4547820429407938,3.143786597267404
2021-01-25,2946,0.4256619144602851,3.0685675492192805
2021-02-01,3292,0.4471445929526124,3.106622114216282
2021-02-08,2857,0.4189709485474274,3.039201960098005
2021-02-15,2973,0.43491422805247226,3.0726538849646823
2021-02-22,3023,0.4214356599404565,3.0264637777042673
2021-03-01,2946,0.4151391717583164,3.01663272233537
2021-03-08,3072,0.4215494791666667,3.0159505208333335
2021-03-15,3353,0.3874142558902475,2.9203698180733673
2021-03-22,3705,0.40728744939271255,2.9762483130904185
2021-03-29,3093,0.4031684448755254,2.9802780472033623
2021-04-05,2744,0.3935860058309038,2.952259475218659
2021-04-12,2691,0.4087699739873653,3.020066889632107
2021-04-19,2553,0.3952213082647865,2.9682726204465335
2021-04-26,2914,0.4303363074811256,3.086822237474262
2021-05-03,2708,0.4298375184638109,3.0635155096011815
2021-05-10,2831,0.4242317202401978,2.9954079830448603
2021-05-17,2734,0.4213606437454279,3.022311631309437
2021-05-24,2619,0.42955326460481097,3.076365024818633
2021-05-31,2690,0.4256505576208178,3.017843866171004
2021-06-07,2719,0.4141228392791467,3.0132401618242
2021-06-14,2643,0.42943624668936814,3.0677260688611425
2021-06-21,2484,0.4243156199677939,3.0523349436392913
2021-06-28,2778,0.4298056155507559,3.058315334773218
2021-07-05,2838,0.44362226920366454,3.0870331219168428
2021-07-12,2812,0.4164295874822191,3.008534850640114
2021-07-19,3001,0.43618793735421524,3.0909696767744084
2021-07-26,2736,0.4331140350877193,3.070906432748538
2021-08-02,2690,0.40557620817843865,2.992936802973978
2021-08-09,2729,0.38219127885672405,2.908757786735068
2021-08-16,2736,0.39144736842105265,2.907529239766082
2021-08-23,2595,0.4077071290944123,2.9915221579961466
2021-08-30,2668,0.3894302848575712,2.9400299850074965
2021-09-06,2531,0.38798893717898064,2.9103121295930463
2021-09-13,2830,0.4045936395759717,2.947703180212014
2021-09-20,2407,0.3884503531366847,2.943498130452846
2021-09-27,2808,0.37749287749287747,2.882122507122507
2021-10-04,2593,0.38873891245661396,2.935210181257231
2021-10-11,2586,0.39791183294663574,2.9640371229698377
2021-10-18,2501,0.38984406237505,2.9296281487405036
2021-10-25,2653,0.40633245382585753,2.992461364493027
2021-11-01,2448,0.39215686274509803,2.94281045751634
2021-11-08,2496,0.39463141025641024,2.9507211538461537
2021-11-15,2795,0.3695885509838998,2.838282647584973
2021-11-22,2515,0.3984095427435388,2.935984095427435
2021-11-29,2563,0.3870464299648849,2.925087787748732
2021-12-06,2571,0.38117464021781405,2.9315441462465968
2021-12-13,2404,0.40640599001663896,2.9575707154742097
2021-12-20,2378,0.41169049621530696,2.9911690496215306
2021-12-27,2490,0.41526104417670684,3.0269076305220883
2022-01-03,2739,0.40963855421686746,3.0010952902519166
2022-01-10,2508,0.4134768740031898,2.967304625199362
2022-01-17,2617,0.4207107374856706,3.0286587695834926
2022-01-24,2655,0.41318267419962335,3.032015065913371
2022-01-31,2537,0.4280646432794639,3.0370516357903035
2022-02-07,2683,0.4629146477823332,3.13007827059262
2022-02-14,2504,0.43849840255591055,3.067891373801917
2022-02-21,2717,0.43503864556496136,3.0813397129186604
2022-02-28,2583,0.4250871080139373,3.075493612078978
2022-03-07,2713,0.44636933284187247,3.0899373387394027
2022-03-14,3762,0.4149388623072834,2.9250398724082936
2022-03-21,2961,0.4231678486997636,2.9983113812901045
2022-03-28,2994,0.41015364061456244,2.979291917167669
2022-04-04,2794,0.3933428775948461,2.9463135289906943
2022-04-11,2709,0.4330011074197121,3.052417866371355
2022-04-18,2625,0.4015238095238095,2.9931428571428573
2022-04-25,2832,0.4269067796610169,3.0395480225988702
2022-05-02,2652,0.4287330316742081,3.0599547511312215
2022-05-09,2486,0.4328238133547868,3.0655671761866454
2022-05-16,2523,0.40705509314308363,3.0245739199365835
2022-05-23,2777,0.40655383507382065,2.9942383867482896
2022-05-30,2527,0.4139295607439652,3.0249307479224377
2022-06-06,2548,0.4293563579277865,3.0474882260596545
2022-06-13,2494,0.4061748195669607,3.0212510024057737
